Emp ID,Origin,Complete Name,First,Middle,Last,Type of Work,Business Email,Date of Joining,Job Role,Company,Office Location
2627,United States,Paul Hayes,Paul,,Hayes,CW,paul.hayes@wright-roberts.com,10/20/19,Tourist information centre manager,Wright-Roberts,Customer-focused didactic portal
2655,Australia,Charles Sarah Diaz,Charles,Sarah,Diaz,EE,charles.diaz@wright-roberts.com,6/11/19,Television floor manager,Wright-Roberts,User-centric optimizing intranet
2856,United States,Joseph Spencer,Joseph,,Spencer,EE,"joseph.spencer@murphy,douglasandsalas.com",12/30/19,Waste management officer,"Murphy, Douglas and Salas",Sharable 4thgeneration initiative
3047,Japan,Tiffany Jamie Hernandez,Tiffany,Jamie,Hernandez,CW,tiffany.hernandez@leonard-flores.com,12/6/22,Teaching laboratory technician,Leonard-Flores,User-centric optimizing intranet
3055,Australia,Evan Charles,Evan,,Charles,EE,evan.charles@smithltd.com,1/9/20,Administrator,Smith Ltd,Customer-focused didactic portal
3067,Japan,Regina Ramos,Regina,,Ramos,EE,"regina.ramos@leonard,washingtonandhall.com",1/5/20,Land,"Leonard, Washington and Hall",User-centric optimizing intranet
3263,India,Jeff Bruce Robbins,Jeff,Bruce,Robbins,EE,jeff.robbins@lamb-newman.com,short,"Scientist, biomedical",Lamb-Newman,User-friendly solution-oriented software
3302,Canada,Kristin Yvonne Small,Kristin,Yvonne,Small,EE,kristin.small@gibson-little.com,land,"Merchandiser, retail",Gibson-Little,Focused directional migration
3469,United Kingdom,Adam Angel Martinez,Adam,Angel,Martinez,EE,adam.martinez@gilbert-hodge.com,5/5/20,Leisure centre manager,Gilbert-Hodge,Focused directional migration
3632,United Kingdom,Amanda Cruz,Amanda,,Cruz,CW,amanda.cruz@wright-roberts.com,10/13/19,Music therapist,Wright-Roberts,Vision-oriented interactive superstructure
3807,Japan,Adam Daniel Malone,Adam,Daniel,Malone,CW,adam.malone@smithltd.com,2/5/20,"Geologist, wellsite",Smith Ltd,Customer-focused didactic portal
3870,India,Chelsea Lee,Chelsea,,Lee,CW,"chelsea.lee@murphy,douglasandsalas.com",5/7/20,Public relations account executive,"Murphy, Douglas and Salas",Vision-oriented interactive superstructure
4003,Germany,Heather Alexis Clark,Heather,Alexis,Clark,EE,heather.clark@gibson-little.com,12/21/22,Community pharmacist,Gibson-Little,User-friendly solution-oriented software
4032,Japan,Eric Danielle Burton,Eric,Danielle,Burton,CW,eric.burton@gilbert-hodge.com,12/5/22,Jewellery designer,Gilbert-Hodge,Face-to-face optimal forecast
4161,Canada,Monica Evan Wilcox,Monica,Evan,Wilcox,CW,monica.wilcox@leonard-flores.com,5/18/23,Ranger/warden,Leonard-Flores,User-centric optimizing intranet
4206,United Kingdom,Gerald Rice,Gerald,,Rice,EE,gerald.rice@deckerplc.com,1/16/23,"Designer, furniture",Decker PLC,Face-to-face optimal forecast
4512,Japan,Jeffrey Salinas,Jeffrey,,Salinas,EE,jeffrey.salinas@mathisplc.com,6/16/21,Immigration officer,Mathis PLC,User-friendly solution-oriented software
4797,Japan,Carol Christina Mcguire,Carol,Christina,Mcguire,EE,carol.mcguire@wright-roberts.com,5/19/23,"Scientist, audiological",Wright-Roberts,Total 3rdgeneration alliance
4924,Australia,Derrick Cindy Hood,Derrick,Cindy,Hood,CW,derrick.hood@deckerplc.com,5/24/20,Equality and diversity officer,Decker PLC,User-centric optimizing intranet
4995,United Kingdom,John Brown,John,,Brown,EE,john.brown@deckerplc.com,1/30/21,Broadcast journalist,Decker PLC,Streamlined systemic matrix
5048,Canada,Renee Adam Downs,Renee,Adam,Downs,CW,renee.downs@wright-roberts.com,5/8/19,Chartered loss adjuster,Wright-Roberts,Customer-focused didactic portal
5093,United Kingdom,Emily Charlene Hawkins,Emily,Charlene,Hawkins,CW,emily.hawkins@leonard-flores.com,10/2/19,Mental health nurse,Leonard-Flores,Sharable 4thgeneration initiative
5124,Germany,Christopher Joseph Knight,Christopher,Joseph,Knight,CW,christopher.knight@gibson-little.com,11/27/21,Armed forces logistics/support/administrative officer,Gibson-Little,Customer-focused didactic portal
5149,Australia,Charles Terry,Charles,,Terry,CW,charles.terry@wright-roberts.com,7/30/21,Clinical research associate,Wright-Roberts,Polarized tangible installation
5260,Canada,Nancy Bailey,Nancy,,Bailey,CW,nancy.bailey@gilbert-hodge.com,4/27/21,Research scientist (maths),Gilbert-Hodge,User-friendly solution-oriented software
5430,Germany,Sara Lopez,Sara,,Lopez,CW,sara.lopez@smithltd.com,4/25/23,Aid worker,Smith Ltd,Polarized tangible installation
5875,Germany,Penny Wilson,Penny,,Wilson,EE,"penny.wilson@murphy,douglasandsalas.com",3/20/22,"Therapist, sports","Murphy, Douglas and Salas",Sharable 4thgeneration initiative
5887,Germany,Linda Gardner,Linda,,Gardner,CW,linda.gardner@wright-roberts.com,1/6/21,Neurosurgeon,Wright-Roberts,Sharable 4thgeneration initiative
5975,India,Dawn Stephenson,Dawn,,Stephenson,EE,dawn.stephenson@mathisplc.com,5/25/22,Bookseller,Mathis PLC,Sharable 4thgeneration initiative
6082,Australia,Christina Long,Christina,,Long,EE,christina.long@wright-roberts.com,11/16/20,Airline pilot,Wright-Roberts,Customer-focused didactic portal
6306,Canada,Sheila Cheyenne Young,Sheila,Cheyenne,Young,CW,sheila.young@smithltd.com,2/16/19,Dance movement psychotherapist,Smith Ltd,User-centric optimizing intranet
6361,India,William Gonzalez,William,,Gonzalez,EE,william.gonzalez@leonard-flores.com,10/12/18,"Engineer, petroleum",Leonard-Flores,Customer-focused didactic portal
6370,United States,Kyle Hernandez,Kyle,,Hernandez,EE,kyle.hernandez@leonard-flores.com,10/12/21,Hydrogeologist,Leonard-Flores,Customer-focused didactic portal
6716,India,Alicia Taylor,Alicia,,Taylor,CW,alicia.taylor@wright-roberts.com,7/26/20,"Administrator, Civil Service",Wright-Roberts,Streamlined systemic matrix
6864,United Kingdom,Carolyn Green,Carolyn,,Green,EE,carolyn.green@mathisplc.com,4/24/23,Interior and spatial designer,Mathis PLC,User-centric optimizing intranet
7061,Canada,Melissa Rose Galloway,Melissa,Rose,Galloway,EE,melissa.galloway@mathisplc.com,11/3/19,Chief Technology Officer,Mathis PLC,Streamlined systemic matrix
7074,United Kingdom,Theresa Rogers,Theresa,,Rogers,CW,theresa.rogers@smithltd.com,9/19/21,Legal executive,Smith Ltd,Customer-focused didactic portal
7338,Australia,Michelle Nicholas Gilbert,Michelle,Nicholas,Gilbert,CW,"michelle.gilbert@murphy,douglasandsalas.com",1/7/22,"Sound technician, broadcasting/film/video","Murphy, Douglas and Salas",Face-to-face optimal forecast
7464,Canada,Keith Carpenter,Keith,,Carpenter,CW,keith.carpenter@lamb-newman.com,1/4/20,Call centre manager,Lamb-Newman,User-friendly solution-oriented software
7512,Canada,Christopher Frederick,Christopher,,Frederick,CW,"christopher.frederick@murphy,douglasandsalas.com",9/6/22,Building surveyor,"Murphy, Douglas and Salas",Customer-focused didactic portal
7638,Germany,Andrew Jennifer Rogers,Andrew,Jennifer,Rogers,EE,andrew.rogers@lamb-newman.com,8/12/19,Pension scheme manager,Lamb-Newman,User-friendly solution-oriented software
7741,Australia,Amanda Contreras,Amanda,,Contreras,EE,amanda.contreras@lamb-newman.com,4/15/21,Toxicologist,Lamb-Newman,Total 3rdgeneration alliance
7796,Japan,Carla Jennifer Parks,Carla,Jennifer,Parks,EE,"carla.parks@murphy,douglasandsalas.com",3/8/22,"Surveyor, planning and development","Murphy, Douglas and Salas",Face-to-face optimal forecast
7912,United Kingdom,Kristy Johnson,Kristy,,Johnson,EE,kristy.johnson@wright-roberts.com,10/10/18,Farm manager,Wright-Roberts,Face-to-face optimal forecast
7949,Australia,Sean Flynn,Sean,,Flynn,EE,sean.flynn@smithltd.com,8/30/20,Outdoor activities/education manager,Smith Ltd,Customer-focused didactic portal
8283,United Kingdom,Patrick Ferrell,Patrick,,Ferrell,EE,patrick.ferrell@gibson-little.com,11/13/20,"Scientist, biomedical",Gibson-Little,Total 3rdgeneration alliance
8390,Australia,Tammy Chapman,Tammy,,Chapman,EE,"tammy.chapman@leonard,washingtonandhall.com",4/9/19,Glass blower/designer,"Leonard, Washington and Hall",Customer-focused didactic portal
8453,Germany,Megan Bailey,Megan,,Bailey,CW,megan.bailey@wright-roberts.com,5/23/23,"Editor, commissioning",Wright-Roberts,Sharable 4thgeneration initiative
8515,Australia,Catherine Barbara Campbell,Catherine,Barbara,Campbell,EE,catherine.campbell@lamb-newman.com,10/24/22,Operational investment banker,Lamb-Newman,Customer-focused didactic portal
8741,Australia,Heather Natalie Wong,Heather,Natalie,Wong,CW,heather.wong@deckerplc.com,11/22/18,IT technical support officer,Decker PLC,Face-to-face optimal forecast
8951,Canada,Alexis Emily Anderson,Alexis,Emily,Anderson,EE,alexis.anderson@deckerplc.com,raise,"Accountant, chartered",Decker PLC,Focused directional migration
8981,Canada,Sarah Phillips,Sarah,,Phillips,CW,sarah.phillips@mathisplc.com,1/27/19,"Biochemist, clinical",Mathis PLC,Face-to-face optimal forecast
9245,Canada,Jeffery Katie Malone,Jeffery,Katie,Malone,CW,jeffery.malone@gibson-little.com,11/24/19,Human resources officer,Gibson-Little,Total 3rdgeneration alliance
9414,United States,Timothy Reynolds,Timothy,,Reynolds,EE,timothy.reynolds@deckerplc.com,5/14/21,Public house manager,Decker PLC,Vision-oriented interactive superstructure
9441,Australia,Emily Ross,Emily,,Ross,EE,emily.ross@leonard-flores.com,11/1/19,Art therapist,Leonard-Flores,Focused directional migration
9565,Germany,Dustin Jones,Dustin,,Jones,EE,dustin.jones@smithltd.com,7/20/19,"Teacher, music",Smith Ltd,User-friendly solution-oriented software
9677,Australia,Allen Tony Sims,Allen,Tony,Sims,CW,allen.sims@leonard-flores.com,6/23/23,"Runner, broadcasting/film/video",Leonard-Flores,Total 3rdgeneration alliance
9680,India,Diana Cole Little,Diana,Cole,Little,CW,diana.little@deckerplc.com,medical,Sport and exercise psychologist,Decker PLC,Customer-focused didactic portal
9927,Japan,Juan Romero,Juan,,Romero,EE,juan.romero@mathisplc.com,12/17/20,Fitness centre manager,Mathis PLC,Face-to-face optimal forecast
10036,Australia,Heather Luis Hernandez,Heather,Luis,Hernandez,EE,"heather.hernandez@murphy,douglasandsalas.com",6/21/20,Human resources officer,"Murphy, Douglas and Salas",Customer-focused didactic portal
10155,India,Nicole Brittany Johnson,Nicole,Brittany,Johnson,EE,nicole.johnson@mathisplc.com,10/6/18,Counselling psychologist,Mathis PLC,Polarized tangible installation
10278,United States,Teresa Justin Brewer,Teresa,Justin,Brewer,EE,teresa.brewer@leonard-flores.com,2/18/22,"Engineer, petroleum",Leonard-Flores,Customer-focused didactic portal
10371,Germany,Logan Hill,Logan,,Hill,EE,logan.hill@mathisplc.com,12/8/22,"Engineer, materials",Mathis PLC,Face-to-face optimal forecast
10505,India,Priscilla Frazier,Priscilla,,Frazier,CW,priscilla.frazier@deckerplc.com,4/24/21,Visual merchandiser,Decker PLC,Polarized tangible installation
10522,Australia,Jennifer Kathy Shannon,Jennifer,Kathy,Shannon,CW,jennifer.shannon@leonard-flores.com,3/19/20,Farm manager,Leonard-Flores,Customer-focused didactic portal
10593,Japan,Leslie Barry Cole,Leslie,Barry,Cole,EE,leslie.cole@lamb-newman.com,1/18/23,Rural practice surveyor,Lamb-Newman,Customer-focused didactic portal
10607,India,Catherine Chavez,Catherine,,Chavez,EE,catherine.chavez@smithltd.com,3/15/22,Network engineer,Smith Ltd,User-friendly solution-oriented software
10665,Germany,Todd Lisa Branch,Todd,Lisa,Branch,EE,todd.branch@leonard-flores.com,2/29/20,Phytotherapist,Leonard-Flores,Face-to-face optimal forecast
10826,Canada,Vincent Jesse Fuller,Vincent,Jesse,Fuller,EE,vincent.fuller@wright-roberts.com,12/18/18,"Investment banker, operational",Wright-Roberts,Customer-focused didactic portal
10956,United Kingdom,Victor Boone,Victor,,Boone,EE,victor.boone@leonard-flores.com,7/23/21,Systems analyst,Leonard-Flores,User-centric optimizing intranet
10961,Germany,Jeffrey Thomas,Jeffrey,,Thomas,CW,jeffrey.thomas@mathisplc.com,11/3/22,Web designer,Mathis PLC,Vision-oriented interactive superstructure
11011,Australia,Tracy Richard,Tracy,,Richard,EE,"tracy.richard@murphy,douglasandsalas.com",6/2/20,Public house manager,"Murphy, Douglas and Salas",Polarized tangible installation
11020,United Kingdom,Daniel Dana Stevens,Daniel,Dana,Stevens,CW,daniel.stevens@mathisplc.com,12/6/18,Intelligence analyst,Mathis PLC,Customer-focused didactic portal
11078,United Kingdom,Joseph Humphrey,Joseph,,Humphrey,EE,joseph.humphrey@lamb-newman.com,6/9/22,Communications engineer,Lamb-Newman,Streamlined systemic matrix
11225,Japan,Kimberly Thomas Porter,Kimberly,Thomas,Porter,CW,kimberly.porter@gilbert-hodge.com,11/10/20,Arboriculturist,Gilbert-Hodge,Sharable 4thgeneration initiative
11544,United Kingdom,Joshua Carrillo,Joshua,,Carrillo,CW,joshua.carrillo@smithltd.com,8/1/22,Commercial/residential surveyor,Smith Ltd,Vision-oriented interactive superstructure
11634,India,Michael Johnson,Michael,,Johnson,CW,"michael.johnson@murphy,douglasandsalas.com",5/6/20,"Nurse, adult","Murphy, Douglas and Salas",Customer-focused didactic portal
11722,Japan,Mary Smith,Mary,,Smith,CW,"mary.smith@murphy,douglasandsalas.com",7/10/23,Marine scientist,"Murphy, Douglas and Salas",User-friendly solution-oriented software
11778,Canada,Lauren Lopez,Lauren,,Lopez,EE,lauren.lopez@deckerplc.com,2/14/23,Brewing technologist,Decker PLC,Total 3rdgeneration alliance
11889,Canada,Frank Deanna Smith,Frank,Deanna,Smith,EE,frank.smith@lamb-newman.com,4/24/20,Solicitor,Lamb-Newman,Streamlined systemic matrix
11922,United Kingdom,Jason Angela Webb,Jason,Angela,Webb,CW,jason.webb@lamb-newman.com,3/7/19,Office manager,Lamb-Newman,Sharable 4thgeneration initiative
11943,Germany,Francisco Rose,Francisco,,Rose,EE,francisco.rose@gilbert-hodge.com,9/10/22,Soil scientist,Gilbert-Hodge,Polarized tangible installation
11987,Australia,Justin Flores,Justin,,Flores,CW,justin.flores@leonard-flores.com,9/6/20,Petroleum engineer,Leonard-Flores,User-centric optimizing intranet
12026,Canada,Richard Mason,Richard,,Mason,EE,"richard.mason@leonard,washingtonandhall.com",5/1/22,Acupuncturist,"Leonard, Washington and Hall",Vision-oriented interactive superstructure
12154,Japan,Lindsay Hernandez,Lindsay,,Hernandez,CW,lindsay.hernandez@leonard-flores.com,8/3/21,Comptroller,Leonard-Flores,Polarized tangible installation
12165,Canada,Brian Brittany Hurley,Brian,Brittany,Hurley,CW,"brian.hurley@murphy,douglasandsalas.com",10/27/22,Commissioning editor,"Murphy, Douglas and Salas",Vision-oriented interactive superstructure
12253,Australia,Vanessa Crawford,Vanessa,,Crawford,EE,"vanessa.crawford@leonard,washingtonandhall.com",5/7/22,Commercial/residential surveyor,"Leonard, Washington and Hall",Face-to-face optimal forecast
12370,Japan,David Matthew Martinez,David,Matthew,Martinez,CW,"david.martinez@murphy,douglasandsalas.com",8/8/21,Environmental education officer,"Murphy, Douglas and Salas",Face-to-face optimal forecast
12374,India,Jonathan Williams,Jonathan,,Williams,CW,jonathan.williams@deckerplc.com,1/15/23,Social worker,Decker PLC,User-centric optimizing intranet
12529,Germany,Brooke Buckley,Brooke,,Buckley,EE,brooke.buckley@lamb-newman.com,11/26/21,Ecologist,Lamb-Newman,Focused directional migration
12558,India,Sheri Shaw,Sheri,,Shaw,EE,"sheri.shaw@murphy,douglasandsalas.com",7/22/22,Building services engineer,"Murphy, Douglas and Salas",Streamlined systemic matrix
12599,Australia,Carlos Jared Riley,Carlos,Jared,Riley,CW,carlos.riley@gibson-little.com,10/1/21,"Administrator, arts",Gibson-Little,Streamlined systemic matrix
12643,India,Patricia Espinoza,Patricia,,Espinoza,CW,patricia.espinoza@gibson-little.com,6/3/22,Chief of Staff,Gibson-Little,User-friendly solution-oriented software
12678,Australia,Andrew Jason Smith,Andrew,Jason,Smith,EE,andrew.smith@mathisplc.com,1/23/22,Applications developer,Mathis PLC,Streamlined systemic matrix
12796,Canada,Anthony Hughes,Anthony,,Hughes,EE,anthony.hughes@smithltd.com,4/28/22,Television production assistant,Smith Ltd,Polarized tangible installation
12807,United Kingdom,Peter Brown,Peter,,Brown,EE,peter.brown@gibson-little.com,10/27/18,Magazine journalist,Gibson-Little,Face-to-face optimal forecast
13040,India,Troy West,Troy,,West,EE,troy.west@smithltd.com,1/22/20,Immigration officer,Smith Ltd,Sharable 4thgeneration initiative
13163,United Kingdom,Kristy Lopez,Kristy,,Lopez,EE,kristy.lopez@smithltd.com,12/26/21,Primary school teacher,Smith Ltd,User-friendly solution-oriented software
13317,United States,Whitney Bond,Whitney,,Bond,EE,whitney.bond@mathisplc.com,12/30/22,Mechanical engineer,Mathis PLC,Customer-focused didactic portal
13320,Japan,Angelica Elliott,Angelica,,Elliott,EE,angelica.elliott@smithltd.com,4/20/19,Financial planner,Smith Ltd,Sharable 4thgeneration initiative
13347,Germany,Alan John Rice,Alan,John,Rice,CW,alan.rice@mathisplc.com,6/7/20,"Producer, television/film/video",Mathis PLC,Customer-focused didactic portal
13468,Canada,Cynthia Collins,Cynthia,,Collins,CW,cynthia.collins@wright-roberts.com,2/22/21,Retail buyer,Wright-Roberts,Vision-oriented interactive superstructure
13571,Australia,Shawn Matthew Romero,Shawn,Matthew,Romero,EE,shawn.romero@smithltd.com,2/8/22,"Education officer, community",Smith Ltd,Polarized tangible installation
13639,Australia,Micheal Coleman,Micheal,,Coleman,EE,micheal.coleman@gibson-little.com,4/30/21,Make,Gibson-Little,Sharable 4thgeneration initiative
13700,United States,Monica Melissa Dunlap,Monica,Melissa,Dunlap,CW,"monica.dunlap@leonard,washingtonandhall.com",10/6/22,Operational researcher,"Leonard, Washington and Hall",Focused directional migration
13754,Japan,Grace Lee,,,,CW,grace.lee@mathisplc.com,9/22/18,Minerals surveyor,Mathis PLC,Vision-oriented interactive superstructure
14051,United Kingdom,Michael Wilson,Michael,,Wilson,CW,"michael.wilson@leonard,washingtonandhall.com",5/2/22,"Nurse, mental health","Leonard, Washington and Hall",Sharable 4thgeneration initiative
14285,Japan,Juan Micheal Jones,Juan,Micheal,Jones,CW,juan.jones@gilbert-hodge.com,9/13/19,"Surveyor, mining",Gilbert-Hodge,User-friendly solution-oriented software
14288,Australia,Christopher Nathaniel Black,Christopher,Nathaniel,Black,CW,christopher.black@gibson-little.com,2/27/22,"Surveyor, planning and development",Gibson-Little,User-centric optimizing intranet
14315,United States,Michelle Scott,Michelle,,Scott,CW,michelle.scott@leonard-flores.com,11/16/19,Newspaper journalist,Leonard-Flores,Vision-oriented interactive superstructure
14654,United Kingdom,Mary Smith,Mary,,Smith,CW,mary.smith@leonard-flores.com,2/3/23,Pharmacologist,Leonard-Flores,Total 3rdgeneration alliance
14743,India,Lindsay Angel Mooney,Lindsay,Angel,Mooney,EE,"lindsay.mooney@murphy,douglasandsalas.com",7/30/18,"Accountant, chartered certified","Murphy, Douglas and Salas",Face-to-face optimal forecast
14797,Japan,Gregory Brown,Gregory,,Brown,EE,gregory.brown@wright-roberts.com,10/23/21,Ranger/warden,Wright-Roberts,Customer-focused didactic portal
14809,United States,Justin Stein,Justin,,Stein,EE,justin.stein@leonard-flores.com,11/7/22,Actor,Leonard-Flores,Focused directional migration
14838,Germany,Aaron Murray,Aaron,,Murray,EE,aaron.murray@leonard-flores.com,5/1/20,Armed forces operational officer,Leonard-Flores,Face-to-face optimal forecast
14857,United States,Adam Pamela Stafford,Adam,Pamela,Stafford,EE,adam.stafford@smithltd.com,8/20/18,Forest/woodland manager,Smith Ltd,Polarized tangible installation
14882,Canada,Denise Velez,Denise,,Velez,CW,denise.velez@leonard-flores.com,10/28/19,"Librarian, academic",Leonard-Flores,Sharable 4thgeneration initiative
14892,India,David Victoria West,David,Victoria,West,EE,david.west@gilbert-hodge.com,democratic,Medical laboratory scientific officer,Gilbert-Hodge,Polarized tangible installation
15020,Japan,Patricia Johnson,Patricia,,Johnson,CW,patricia.johnson@lamb-newman.com,8/25/21,Company secretary,Lamb-Newman,Customer-focused didactic portal
15232,Germany,Jose Turner,Jose,,Turner,EE,jose.turner@lamb-newman.com,3/25/20,Leisure centre manager,Lamb-Newman,User-friendly solution-oriented software
15282,United Kingdom,Christopher Smith,Christopher,,Smith,CW,christopher.smith@gibson-little.com,2/24/22,IT sales professional,Gibson-Little,Total 3rdgeneration alliance
15369,United Kingdom,Lisa Charles Adams,Lisa,Charles,Adams,CW,lisa.adams@leonard-flores.com,7/30/20,Oceanographer,Leonard-Flores,Streamlined systemic matrix
15435,Japan,Morgan Ross,Morgan,,Ross,CW,morgan.ross@smithltd.com,12/1/18,Data scientist,Smith Ltd,User-centric optimizing intranet
15451,United Kingdom,Manuel Rogers,Manuel,,Rogers,CW,manuel.rogers@gilbert-hodge.com,5/18/21,Press photographer,Gilbert-Hodge,Streamlined systemic matrix
15478,United Kingdom,Krista Sandoval,Krista,,Sandoval,EE,krista.sandoval@mathisplc.com,9/16/18,Health physicist,Mathis PLC,Sharable 4thgeneration initiative
15482,Canada,Todd Francisco Smith,Todd,Francisco,Smith,EE,todd.smith@smithltd.com,12/25/19,"Engineer, civil (consulting)",Smith Ltd,User-centric optimizing intranet
15691,United States,Daniel Kellie Stewart,Daniel,Kellie,Stewart,EE,daniel.stewart@smithltd.com,7/14/21,Immunologist,Smith Ltd,Sharable 4thgeneration initiative
15888,Japan,Benjamin Johnny Sanders,Benjamin,Johnny,Sanders,CW,benjamin.sanders@smithltd.com,1/22/20,Research scientist (life sciences),Smith Ltd,Face-to-face optimal forecast
16152,Germany,Tonya Tammy Torres,Tonya,Tammy,Torres,EE,tonya.torres@deckerplc.com,12/4/20,Naval architect,Decker PLC,Face-to-face optimal forecast
16280,Canada,Patricia Williams,Patricia,,Williams,EE,patricia.williams@mathisplc.com,5/13/19,Legal executive,Mathis PLC,Focused directional migration
16331,Australia,Dawn Williams,Dawn,,Williams,CW,dawn.williams@leonard-flores.com,10/21/19,Commissioning editor,Leonard-Flores,Streamlined systemic matrix
16413,United States,Steven Sara Caldwell,Steven,Sara,Caldwell,EE,"steven.caldwell@leonard,washingtonandhall.com",9/1/18,Operational investment banker,"Leonard, Washington and Hall",User-centric optimizing intranet
16624,Germany,Michael Tucker,Michael,,Tucker,EE,michael.tucker@deckerplc.com,5/10/21,Site engineer,Decker PLC,Polarized tangible installation
16627,Australia,Karen Williams,Karen,,Williams,CW,karen.williams@smithltd.com,5/28/21,Clinical molecular geneticist,Smith Ltd,Sharable 4thgeneration initiative
16797,Australia,Tiffany Burns,Tiffany,,Burns,EE,"tiffany.burns@murphy,douglasandsalas.com",7/31/18,Sub,"Murphy, Douglas and Salas",Polarized tangible installation
17305,Germany,Brandon Joyce Browning,Brandon,Joyce,Browning,EE,brandon.browning@leonard-flores.com,12/19/22,Purchasing manager,Leonard-Flores,Polarized tangible installation
17341,United States,Monica Potter,Monica,,Potter,CW,monica.potter@gilbert-hodge.com,4/30/23,"Conservator, furniture",Gilbert-Hodge,User-friendly solution-oriented software
